Club,Latitude,Longitude,Countytitles
Wexford_Faythe Harriers,52.349261,-6.485656,2.0
Wexford_Naomh Eanna Gorey,52.681137,-6.274277,1.0
Wexford_Oulart The Ballagh,52.506459,-6.387273,13.0
Wexford_Rathnure St. Annes,52.497681,-6.765711,8.0
Wexford_Shelmaliers,52.387276,-6.42697,2.0
Wexford_St. Martins,52.289655,-6.490839,4.0
Galway_Abbeyknockmoy,53.438237,-8.726792,1.0
Galway_Castlegar,53.276582,-8.976924,1.0
Galway_Clarinbridge,53.230958,-8.876181,2.0
Galway_Gort,53.044574,-8.835325,4.0
Galway_Killimordaly,53.302326,-8.623441,1.0
Galway_Kiltormer,53.23614,-8.275065,3.0
Galway_Liam Mellows,53.271219,-9.021857,1.0
Galway_Loughrea,53.202826,-8.551462,1.0
Galway_Portumna,53.088663,-8.218127,6.0
Galway_Sarsfields,53.301704,-8.490629,6.0
Galway_St. Marys Athenry,53.324478,-8.78491,8.0
Galway_St. Thomas,53.141442,-8.705356,5.0
Galway_Turloughmore,53.367447,-8.904521,1.0
Offaly_St. Brendans Park,53.091698,-7.908504,12.0
Offaly_Coolderry,53.013376,-7.844367,6.0
Offaly_Kilcormac Killoughey,53.176061,-7.732015,4.0
Offaly_Kinnitty,53.100969,-7.709849,3.0
Offaly_Lusmagh,53.172955,-8.018528,1.0
Offaly_Seir Kieran,53.073925,-7.800003,4.0
Offaly_St. Rynaghs,53.189052,-7.975302,8.0
Offaly_Tullamore,53.280403,-7.493153,1.0
Clare_Ballyea,52.786536,-9.028852,2.0
Clare_Clarecastle,52.816335,-8.971463,7.0
Clare_Clonlara,52.719853,-8.557878,1.0
Clare_Cratloe,52.695542,-8.760835,2.0
Clare_Crusheen,52.936095,-8.897585,2.0
Clare_Eire Og,52.831917,-8.991242,2.0
Clare_Feakle,52.923348,-8.651068,1.0
Clare_Kilmaley,52.813881,-9.095376,2.0
Clare_Newmarket on Fergus,52.760392,-8.888669,2.0
Clare_Sixmilebridge,52.744333,-8.778205,13.0
Clare_St. Josephs Doora Barefield,52.84253,-8.905599,3.0
Clare_Tulla,52.86171,-8.744897,1.0
Clare_Wolfe Tones na Sionna,52.704007,-8.868853,2.0
Waterford_Ballyduff Upper,52.141805,-8.052034,1.0
Waterford_Mount Sion,52.260541,-7.133963,2.0
Waterford_Tallow,52.094398,-7.997977,2.0
Laois_Borris In Ossory,52.940835,-7.61801,2.0
Laois_Camross,52.996842,-7.562188,11.0
Laois_Castletown,52.980418,-7.50304,8.0
Laois_Clonad,52.993736,-7.297282,1.0
Laois_Clough Ballacolla,52.881627,-7.450892,3.0
Laois_Portlaoise,53.025413,-7.266415,9.0
Laois_Rathdowney Errill,52.853176,-7.586821,6.0
